model,gpu,epoch,seconds
mnist_hierarchical_rnn,1070ti,1,72
mnist_hierarchical_rnn,1070ti,2,70
mnist_hierarchical_rnn,1070ti,3,71
mnist_hierarchical_rnn,1070ti,4,71
mnist_hierarchical_rnn,1070ti,5,71
mnist_hierarchical_rnn,P100,1,182
mnist_hierarchical_rnn,P100,2,179
mnist_hierarchical_rnn,P100,3,178
mnist_hierarchical_rnn,P100,4,178
mnist_hierarchical_rnn,P100,5,177
imdb_bidirectional_lstm,1070ti,1,130
imdb_bidirectional_lstm,1070ti,2,129
imdb_bidirectional_lstm,1070ti,3,127
imdb_bidirectional_lstm,1070ti,4,126
imdb_bidirectional_lstm,P100,1,266
imdb_bidirectional_lstm,P100,2,261
imdb_bidirectional_lstm,P100,3,259
imdb_bidirectional_lstm,P100,4,259
imdb_fasttext,1070ti,1,3
imdb_fasttext,1070ti,2,3
imdb_fasttext,1070ti,3,3
imdb_fasttext,1070ti,4,3
imdb_fasttext,1070ti,5,3
imdb_fasttext,P100,1,7
imdb_fasttext,P100,2,4
imdb_fasttext,P100,3,4
imdb_fasttext,P100,4,4
imdb_fasttext,P100,5,4
mnist_cnn,1070ti,1,6
mnist_cnn,1070ti,2,6
mnist_cnn,1070ti,3,5
mnist_cnn,1070ti,4,5
mnist_cnn,1070ti,5,5
mnist_cnn,1070ti,6,6
mnist_cnn,1070ti,7,6
mnist_cnn,1070ti,8,5
mnist_cnn,1070ti,9,5
mnist_cnn,1070ti,10,5
mnist_cnn,1070ti,11,5
mnist_cnn,1070ti,12,5
mnist_cnn,P100,1,8
mnist_cnn,P100,2,4
mnist_cnn,P100,3,4
mnist_cnn,P100,4,4
mnist_cnn,P100,5,4
mnist_cnn,P100,6,4
mnist_cnn,P100,7,4
mnist_cnn,P100,8,4
mnist_cnn,P100,9,4
mnist_cnn,P100,10,4
mnist_cnn,P100,11,4
mnist_cnn,P100,12,4
lstm_text_generation,1070ti,1,41
lstm_text_generation,1070ti,2,40
lstm_text_generation,1070ti,3,40
lstm_text_generation,1070ti,4,40
lstm_text_generation,1070ti,5,40
lstm_text_generation,P100,1,102
lstm_text_generation,P100,2,99
lstm_text_generation,P100,3,98
lstm_text_generation,P100,4,98
lstm_text_generation,P100,5,97
